UniqueID,Category,name,description,Dependency (UniqueID),For more information [just append this to the description]
1,Antiderivatives,What is an antiderivative?,"Let \(f(x)\) be continuous on \([a,b]\). If \(G(x)\) is continuous on \([a,b]\) and \(G'(x)=f(x)\) for all \(x\in (a,b)\), then \(G\) is called an **antiderivative** of \(f\). "
2,Antiderivatives,For what types of functions \( f \) does there exist an antiderivative \( G(x) \) such that \( G'(x) = f(x) \)?,The function \( f(x) \) must be continuous on the interval over which the antiderivative is to be defined.
3,Antiderivatives,How is the antiderivative for function \( f(x) \) constructed?,"We can construct antiderivatives by integrating. The function \[F(x)=\int^x_a f(t)\, dt\] is an antiderivative for \(f\) since it can be shown that \(F(x)\) constructed in this way is continuous on \([a,b]\) and \(F'(x)=f(x)\) for all \(x\in (a,b)\). "
4,Antiderivatives,"If \( F(x) \) is an antiderivative for \( f(x) \), then what functions are also antiderivatives for \( f(x) \)?","Let \(F(x)\) be any antiderivative for \(f(x)\). For any constant \(C\), \(F(x)+C\) is an antiderivative for \(f(x)\). This means when finding a definite integral you should **always write ""+ C""** to indicate that any constant can be added to yield a valid solution."
5,Antiderivatives,What is the form in which every antiderivative of \( f(x) \) can be written?,"Every antiderivative of \(f(x)\) can be written in the form \[F(x)+C\] for some \(C\). That is, every two antiderivatives of \(f\) differ by at most a constant. "
6,Antiderivatives,What is the value of \( \frac d {dx} \[ \int f(x)\ dx \] \)?,"\(\displaystyle \frac{d}{dx}\left[\int\! f(x)\, dx\right]=f(x)\)."
7,Antiderivatives,How can \( \int [\alpha f(x) + \beta g(x) ]\ dx \) be rewritten?,"_(Linearity)_ \(\displaystyle \int [\alpha f(x)+\beta g(x)]\, dx=\alpha \int\! f(x)\, dx+\beta \int\! g(x)\, dx\). "
8,Arc length,"If \( f(x) \) is continuously differentiable on \( [a,b] \), then what is its arc length?","Let \(f(x)\) be continuously differentiable on \([a,b]\). Then the arc length \(L\) of \(f(x)\) over \([a,b]\) is given by \[L=\int^b_a \sqrt{1+[f'(x)]^2}\, dx.\]"
9,Arc length,What strategy is used to determine the arc length for a function?,"Divide the interval for the desired arc length into subintervals. For each subinterval compute the length of the straight line segment between the values of the function at the endpoints of this interval. The sum of these segments provides an approximation of the arc length. As the number of subintervals increases and  the length of the subintervals goes to zero, the approximation becomes exact for a continuously differentiable function."
10,Chain rule,What is the derivative for a composition of functions? ,"Letting \(y=f(g(x))\) and \(u=g(x)\), \(\) \frac{dy}{dx}=\frac{dy}{du}\cdot\frac{du}{dx}. \(\) Using alternative notation, \begin{align} \frac{d}{dx}\left[ f(g(x)) \right] & = & f'(g(x))g'(x), \\ \frac{d}{dx}\left[ f(u) \right] & = & f'(u)\frac{du}{dx}. \end{align} In words, the derivative of \(f(g(x))\) is the derivative of \(f\), evaluated at \(g(x)\), multiplied by the derivative of \(g(x)\). "
11,Chain rule,Is the composition of two differentiable functions differentiable?,Yes. Suppose a function \(g(x)\) is differentiable at \(x\) and \(f(x)\) is differentiable at \(g(x)\). Then the composition \(f(g(x))\) is differentiable at \(x\). 
12,Computing integrals by completing the square,When is partial fractions not a viable option for evaluating the integral of a fraction?,"When the denominator does not factor with rational coefficients, partial fractions is not a viable option."
13,Computing integrals by completing the square,What types of integrals can be evaluated by the method of completing the square?,"Integrals of fractions that cannot be computed with partial fractions, such as when the denominator does not factor with rational coefficients or the denominator involves a square root, but can be written in the form of an antiderivative of a trig function or another known form."
14,Computing integrals by completing the square,How is the quadratic polynomial \[ ax^2 + bx + c \] rewritten by completing the square?,"By completing the square, we may rewrite any quadratic polynomial \[ax^2+bx+x\] in the form \[a\left[(x+k_1)^2+k_2\right]\] where $k_1$ and $k_2$ may be positive or negative."
15,Computing integrals by substitution,What property allows the substitution method of computing integrals?,The substitution method amounts to applying the Chain Rule in reverse.
16,Computing integrals by substitution,How can an integral be computed with the substitution method?,"To compute \(\displaystyle\int\! f(g(x))g'(x)\, dx\), we let \(u = g(x)\) \(du = g'(x) dx\). Then \(\displaystyle{\int f(g(x))g'(x)\, dx = \int f(u)\, du = F(u) = F(g(x))}\) where \(F\) is an antiderivative of \(f\). The integral may not always be in the exact form that we started with here, but using the same idea, where we start with substituting in \(u\) or \(du\) until all of the \(x\) and \(dx\) terms are eliminated, should reduce the integral into something more easily solvable (if the substitution was applied appropriately)."
17,Continuity,When is a function continuous at a particular point?,"A function \(f\) is **continuous at \(c\)** if and only if \(\displaystyle\lim_{x\to c} f(x)=f(c).\)  That is, \(f\) is continuous at \(c\) if and only if for all \(\varepsilon > 0\) there exists a \(\delta > 0\) such that \[{\small\textrm{if }} |x-c|<\delta \quad{\small\textrm{then }} |f(x)-f(c)|<\varepsilon.\] In words, for \(x\) close to \(c\), \(f(x)\) should be close to \(f(c)\)."
18,Continuity,When is a function called continuous?,"If \(f\) is continuous at every real number \(c\), then \(f\) is said to be **continuous**."
19,Continuity,When is a function called discontinuous?,"If \(f\) is _not_ continuous at \(c\), then \(f\) is said to be **discontinuous at \(c\)**."
20,Continuity,What are the types of discontinuity at a point?,"The function \(f\) can be discontinuous for two distinct reasons: * \(f(x)\) does not have a limit as \(x\to c\). (Specifically, if the left- and right-hand limits exist but are different, the discontinuity is called a **jump discontinuity**.) * \(f(x)\) has a limit as \(x\to c\), but \(\lim_{x\to c} f(x)\neq f(c)\) or \(f(c)\) is undefined. (This is called a **removable discontinuity**, since we can ""remove"" the discontinuity at \(c\) by redefining \(f(c)\) as \(\lim_{x\to c} f(x)\).) "
21,Continuity,What is a jump discontinuity?,"\(f(x)\) does not have a limit as \(x\to c\). (Specifically, if the left- and right-hand limits exist but are different, the discontinuity is called a **jump discontinuity**.)"
22,Continuity,What is a removable discontinuity?," \(f(x)\) has a limit as \(x\to c\), but \(\lim_{x\to c} f(x)\neq f(c)\) or \(f(c)\) is undefined. (This is called a **removable discontinuity**, since we can ""remove"" the discontinuity at \(c\) by redefining \(f(c)\) as \(\lim_{x\to c} f(x)\).)"
23,Continuity,Is continuity preserved for addition?,\(f+g\) is continuous at \(c\). 
24,Continuity,Is continuity preserved for scaling?,\(\alpha f\) is continuous at \(c\) for any real number \(\alpha\). 
25,Continuity,Is continuity preserved for multiplication of functions?,\(fg\) is continous at \(c\). 
26,Continuity,Is continuity preserved for division of functions?,\(f/g\) is continuous at \(c\) if \(g(c)\neq 0\). 
27,Continuity,Is continuity preserved for composition of functions?,"If \(g\) is continuous at \(c\) and \(f\) is continuous at \(g(c)\), then the composition \(f\circ g\) is continuous at \(c\)."
28,Continuity,When is a function continuous from the left?,A function \(f\) is **continuous from the left at \(c\)** if and only if \(\displaystyle\lim_{x\to c^-} f(x)=f(c)\).
29,Continuity,When is a function continuous from the right?,A function \(f\) is **continuous from the right at \(c\)** if and only if \(\displaystyle\lim_{x\to c^+} f(x)=f(c)\).
30,Differentiating special functions,What is the derivative of \( \sin x \)?,"
If \(f(x)=\sin x\) then \(f'(x)=\cos x\)."
31,Differentiating special functions,What is the derivative of \( \cos x \)?,If \(f(x)=\cos x\) then \(f'(x)=-\sin x\).
32,Differentiating special functions,What is the derivative of \( \tan x \)?,If \(f(x)=\tan x\) then \(f'(x)=\sec^2 x\).
33,Differentiating special functions,What is the derivative of \( \sec x \)?,If \(f(x)=\sec x\) then \(f'(x)=\sec x\tan x\).
34,Differentiating special functions,What is the derivative of \( \csc x \)?,If \(f(x)=\csc x\) then \(f'(x)=-\csc x\cot x\).
35,Differentiating special functions,What is the derivative of \( \cot x \)?,If \(f(x)=\cot x\) then \(f'(x)=-\csc^2 x\).
36,Differentiating special functions,What is the derivative of \( \ln x \) for \( x > 0 \)?,"If \(f(x)=\ln x\), \(x>0\), then \(f'(x)=\frac 1x\)."
37,Differentiating special functions,What is the derivative of \( \ln |x| \) for \( x \neq 0 \)?,"If \(f(x)=\ln x\), \(x\neq 0\), then \(f'(x)=\frac 1x\)."
38,Differentiating special functions,What is the derivative of \( e^x \)?,"If \(f(x)=e^x\), then \(f'(x)=e^x\)."
39,First derivative,What does \( f'(x) > 0 \) for all \(x\) on an interval \( I \) tell us about a continuous function \( f \)?,"Let \(f\) be continuous on an interval \(I\) and differentiable on the interior of \(I\). If \(f'(x) > 0\) for all \(x \in I\), then \(f\) is _increasing_ on \(I\)."
40,First derivative,What does \( f'(x) < 0 \) for all \(x\) on an interval \( I \) tell us about a continuous function \( f \)?,"Let \(f\) be continuous on an interval \(I\) and differentiable on the interior of \(I\). If \(f'(x) < 0\) for all \(x \in I\), then \(f\) is _decreasing_ on \(I\)."
41,First derivative,When is a continuous function \(f\) increasing on an interval \(I\)?,"Let \(f\) be continuous on an interval \(I\) and differentiable on the interior of \(I\). If \(f'(x) > 0\) for all \(x \in I\), then \(f\) is _increasing_ on \(I\)."
42,First derivative,When is a continuous function \(f\) decreasing on an interval \(I\)?,"Let \(f\) be continuous on an interval \(I\) and differentiable on the interior of \(I\). If \(f'(x) < 0\) for all \(x \in I\), then \(f\) is _decreasing_ on \(I\)."
43,First derivative,For what values of \(x\) do the relative extrema for a function \(f(x)\) occur?,"Relative extrema of \(f\) occur at **critical points** of \(f\), values \(x_0\) for which either \(f'(x_0)= 0\) (in other words, \(f'\) changes sign) or \(f'(x_0)\) is undefined."
44,First derivative,What occurs at the point \(x_0\) if \(f'(x_0)=0\)?,"Relative extrema of \(f\) occur at **critical points** of \(f\), values \(x_0\) for which either \(f'(x_0)= 0\) (in other words, \(f'\) changes sign) or \(f'(x_0)\) is undefined."
45,First derivative,What occurs at the point \(x_0\) if \(f'(x_0)\) is undefined?,"Relative extrema of \(f\) occur at **critical points** of \(f\), values \(x_0\) for which either \(f'(x_0)= 0\) (in other words, \(f'\) changes sign) or \(f'(x_0)\) is undefined."
46,First derivative,What occurs at the point \(x_0\) if \(f'(x) > 0\) on an open interval extending left from \(x_0\) and \(f'(x) < 0\) on an open interval extending right from \(x_0\)?,"If \(f'(x) > 0\) on an open interval extending left from \(x_0\) and \(f'(x) < 0\) on an open interval extending right from \(x_0\), then \(f\) has a relative maximum at \(x_0\)."
47,First derivative,What occurs at the point \(x_0\) if \(f'(x) < 0\) on an open interval extending left from \(x_0\) and \(f'(x) > 0\) on an open interval extending right from \(x_0\)?," If \(f'(x) < 0\) on an open interval extending left from \(x_0\) and \(f'(x) > 0\) on an open interval extending right from \(x_0\), then \(f\) has a relative minimum at \(x_0\)."
48,First derivative,When does a function \(f\) have a relative maximum at a point \(x_0\)?,"If \(f'(x) > 0\) on an open interval extending left from \(x_0\) and \(f'(x) < 0\) on an open interval extending right from \(x_0\), then \(f\) has a relative maximum at \(x_0\)."
49,First derivative,When does a function \(f\) have a relative minimum at a point \(x_0\)?," If \(f'(x) < 0\) on an open interval extending left from \(x_0\) and \(f'(x) > 0\) on an open interval extending right from \(x_0\), then \(f\) has a relative minimum at \(x_0\)."
50,First derivative,What does a function \(f\) *not* have a relative extrema at a point \(x_0\)?,"If \(f'(x)\) has the same sign on both an open interval extending left from \(x_0\) and an open interval extending right from \(x_0\), then \(f\) does not have a relative extremum at \(x_0\). "
51,First derivative,"If a function \(f\) has an extreme value on an open interval, where does that extreme value occur?","If \(f\) has an extreme value on an _open_ interval, then the extreme value occurs at a critical point of \(f\)."
52,First derivative,"If \(f\) has an extreme value on a closed interval, where does that extreme value occur?","If \(f\) has an extreme value on a _closed_ interval, then the extreme value occurs either at a critical point or at an endpoint."
53,Fundamental theorem of calculus,"If \(f\) is continuous on \([a,b]\), and \(F\) is any antiderivative for \(f\) on \([a,b]\), then how are \(f\) and \(F\) related with respect to that interval?","Let \(f\) be continuous on \([a,b]\). If \(F\) is any antiderivative for \(f\) on \([a,b]\), then \[\int^b_a f(t)\, dt=F(b)-F(a).\]"
