DB_id,UniqueID,Category,name,description,Dependency (UniqueID),For more information [just append this to the description]
145,1,Vector Math,How is a vector denoted?,"Learnstream uses boldface to indicate a vector, such as \( \textbf v \). Many sources use an arrow above the variable, as in \( \vec v \)"
146,2,Vector Math,What are the horizontal and vertical components of a vector?,"Given some vector \( \mathbf v \), we can decompose it into a sum of two orthogonal vectors \( \mathbf v_x \) and \( \mathbf v_y \). To do this, first define your coordinate system by drawing an \( \hat{x} \) and a \( \hat y \) direction. Then, complete the right triangle with \( \mathbf v \) as the hypotenuse. The x- and y- components will be the legs of that triangle along the \( \hat x \) and \( \hat y \) direction."
147,3,Vector Math,How are two vectors added?,"Two vectors are most easily added component-by-component. If you decompose each vector into its horizontal and vertical components, vector addition is done by adding corresponding components. Graphically, this is equivalent to placing the vectors head-to-tail and drawing in the ""resultant"" vector from the tail of the first to the head of the second. To give an example, consider \( mathbf v = v_x \hat x + v_y \hat y \), and \( mathbf w = w_x \hat x + w_y \hat y \). Then, \( \mathbf v + \mathbf w = (v_x + w_x) \hat x + (v_y + w_y)\hat y \)."
148,4,Vector Math,How are two vectors subtracted?,"To compute \( \mathbf a - \mathbf b \), find \( - \mathbf b \) by reversing the direction (flipping the signs) and then adding it to \( \mathbf a \). If you are subtracting two vectors using components, simply subtract the components of \( \mathbf b \) from the components of \( \mathbf a \).",How are two vectors added?
149,5,Vector Math,What vector properties can be considered component-wise?,"Vectors can be equated component-wise (all components must be equal for the vectors to be equal), and they can also be added, subtracted, and scaled (multiplied by a scalar) component-wise."
150,6,Vector Math,What is a unit vector?,"A unit vector is a vector of length 1. Typically we deal with unit vectors along each of the coordinate axes, ie, \( \hat x, \hat y, \hat z \). "
151,7,Vector Math,What is a normalized vector?,"The normalized vector \(\hat{u}\) of a non-zero vector u is the unit vector codirectional with u, i.e.,\(\hat{u} = \frac{u}{\left \| u \right \|}\)"
152,8,Vector Math,How is the dot product of two vectors calculated?,"The dot product \( \mathbf u \cdot \mathbf v \) can be computed component-wise. That is, if \[ \mathbf u = u_x \hat x + u_y \hat y + u_z \hat z \] and \[ \mathbf v = v_x \hat x + v_y \hat y + v_z \hat z \] then \[ \mathbf u \cdot \mathbf v = u_x v_x + u_y v_y + u_z v_z \] Note that the dot product is always a scalar!",,"OCW Lesson 3, Clip 2: http://www.youtube.com/watch?v=OxLfUDyxVQs (3:44 - 9:05)
"
153,9,Vector Math,How is the cross product of two vectors calculated?,"We define the cross product \( \mathbf u \times \mathbf v \) as \[ \mathbf u \times \mathbf v = (u_y v_z - u_z v_y)\hat x + (u_z v_x - u_x v_z) \hat y + (u_x v_y - u_y v_x)\hat x \]  See OCW Lesson 3, Clip 3: http://www.youtube.com/watch?v=OxLfUDyxVQs (9:10 - 11:00 )
",,"OCW Lesson 3, Clip 3: http://www.youtube.com/watch?v=OxLfUDyxVQs (9:10 - 11:00 )
"
154,10,Data Analysis,What are significant figures?,"Significant figures (or significant digits) are the digits in a number that contribute to its precision. If a scale reads \( 1.21 \times 10^1 \), this value has 3 significant digits meaning the final calculation should also have at most three significant digits."
