StartTime,EndTime,name,UniqueID,Video Description,video_url,playable_type,order_number,note_content,is_document,quiz_components,question,answer_type,answer,explanation,in_lesson,start_time,end_time
0:00:00,0:35:00,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,1,"MIT - Position, Velocity, Acceleration",,,,,,,0,0,35
0:35:00,0:45:00,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,2,"You should always begin a problem by defining a coordinate system. Here, Lewin defines \( + \hat{x} \) to be up to the right.",,,,,,,0,35,45
0:45:00,1:47:00,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,3,"Average velocity: \[ \bar{v}_{t_1, t_2} = \frac{ v_{t_2} - v_{t_1}}{t_2 - t_1} \]",,,,,,,0,45,107
1:47:00,3:55:00,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,4,"Velocity is a vector quantity, thus a negative velocity means motion in the negative \( \hat{x} \) direction. This comes out nicely in the way that the average velocity is defined as a change in displacement over a change in time.",,,,,,,0,107,235
3:55:00,5:19:00,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,5,"On a graph of position-time, average velocity is just the slope of the line connecting two points on the graph.",,,,,,,0,235,319
5:19:00,6:55:00,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,6,"There is a big difference between speed and velocity! Speed is a scalar quantity, measuring how fast an object travels but says nothing about its direction -- it is the magnitude of the velocity. Thus, if an object travels out some distance and then back to its starting point, it will have a zero average velocity (since the net displacement is zero) but its speed will be non-negative.",,,,,,,0,319,415
6:55:00,10:00:00,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,7,"The instantaneous velocity is just the derivative of position, \[ \mathbf v = \frac{d \mathbf x}{dt}  \]",,,,,,,0,415,600
10:00:00,SKIP,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,8,End of introduction to velocity,,,,,,,0,600,601
17:35:00,18:20:00,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,9,Introduction to average acceleration,,,,,,,0,1055,1100
18:20:00,19:30:00,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,10,"Average acceleration: \[ \bar{a}_{t_1,t_2} = \frac{a_{t_2} - a_{t_1}}{t_2-t_1} \]",,,,,,,0,1100,1170
19:30:00,19:48:00,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,11,Acceleration has units of meters per second squared.,,,,,,,0,1170,1188
19:48:00,20:05:00,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,12,Instantaneous acceleration is just \[ \mathbf a = \frac{d \mathbf v}{dt}  = \frac{d^2 \mathbf x}{dt^2}  \],,,,,,,0,1188,1205
20:05:00,END,"Introduction to Position, Velocity, and Acceleration",1,"MIT - Position, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,13,End of Lesson,,,,,,,0,1205,1206
27:50:00,28:48:00,"Example with Position, Velocity, and Acceleration",2,"MIT - Example with Postion, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,1,Example: \( x(t) = 8- 6t+t^2 \),,,,,,,0,1670,1728
28:48:00,28:54:00,"Example with Position, Velocity, and Acceleration",2,"MIT - Example with Postion, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,2,\[ v(t) = \frac{dx}{dt} = 2 t - 6 \],,,,,,,0,1728,1734
28:54:00,29:00:00,"Example with Position, Velocity, and Acceleration",2,"MIT - Example with Postion, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,3,\[ a(t) = \frac{dv}{dt} = 2 \],,,,,,,0,1734,1740
29:00:00,30:00:00,"Example with Position, Velocity, and Acceleration",2,"MIT - Example with Postion, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,4,Types of questions in kinematics: What is the velocity or acceleration at time \( t \)? What is the time when the position or velocity is a certain value?,,,,,,,0,1740,1800
30:00:00,34:20:00,"Example with Position, Velocity, and Acceleration",2,"MIT - Example with Postion, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,5,"Making position, velocity, and acceleration graphs.",,,,,,,0,1800,2060
34:20:00,35:00:00,"Example with Position, Velocity, and Acceleration",2,"MIT - Example with Postion, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,6,General expression for position and velocity under constant acceleration.,,,,,,,0,2060,2100
35:00:00,35:22:00,"Example with Position, Velocity, and Acceleration",2,"MIT - Example with Postion, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,7,\[ x(t) = C_1 + C_2 t + C_3 t^2 \],,,,,,,0,2100,2122
35:22:00,35:35:00,"Example with Position, Velocity, and Acceleration",2,"MIT - Example with Postion, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,8,\[ v(t) = \frac{dx}{dt} = C_2 + 2 C_3 t \],,,,,,,0,2122,2135
35:35:00,38:14:00,"Example with Position, Velocity, and Acceleration",2,"MIT - Example with Postion, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,9,\[ a(t) = \frac{dv}{dt} = 2 C_3 \],,,,,,,0,2135,2294
38:14:00,END,"Example with Position, Velocity, and Acceleration",2,"MIT - Example with Postion, Velocity, Acceleration (Lecture 2)",http://www.youtube.com/watch?v=8Ig-e509uRQ,Note,10,End of Lesson,,,,,,,0,2294,2295
0:00:00,1:10:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,1,Introduction to vectors and vector addition,,,,,,,0,0,70
1:10:00,1:15:00,Introduction to Vectors,3,MIT - Introduction to Vectors (Lecture 3),http://www.youtube.com/watch?v=fwNQKjTj-0w,Note,2,"When writing out solutions, an ""x"" on the paper indicates a vector going *into* the page, while a dot indicates a vector coming out of the page.",,,,,,,0,70,75
